geoidtxt,tractfips,chicago,mailreturnratecen2010,lowresponsescore,totpop,totunder5,hispanic,blackaloneorcombo,asianaloneorcombo,amerindaloneorcombo,nathawaloneorcombo,tothh,totpopinhhs,groupquarter,lephhs,lepspanhhs,lepindoeurhhs,lepapachhs,lepotherhhs,totpopbornoutus,fb2010plus,fb2000plus,owner_total,renter_total,hh_singleparent,hh_crowded,hh_owner_crowded,hh_renter_crowded,poverty_total,poverty_less100,poverty_less200,housingunits_total,units_2plus,units_10plus,nointernet,internet_nosub,internet,dialuponly,broadband_any,broadband_cablefiberopticdsl,broadband_cablefiberopticdslonly,cellular,cellularonly,satellite,satelliteonly,otheronly,hher15to34,hher35to54,hher55to64,hher65plus,moved2015later,move10to14,moved00to09,moved90to99,moved1989earlier,intfirsteng,intfirstbiling,intchoiceeng,intchoicebiling,mailtypenotknown,updateenumerate,remotealaska,updateleave
17031420200,4202,TRUE,70.7,31.6,"1,672",135,46,"1,189",94,0,0,606,"1,514",158,0,0,0,0,0,113,61,73,177,429,134,14,0,14,"1,514",558,909,727,683,282,123,9,474,0,474,403,126,328,51,35,17,0,98,270,199,39,150,159,210,61,26,727,0,0,0,0,0,0,0
17031420300,4203,TRUE,74.3,31.1,"2,737",82,188,"1,144",502,12,0,722,"1,569","1,168",25,18,0,7,0,385,235,307,166,556,114,20,0,20,"1,569",568,735,796,722,312,69,36,617,0,617,556,191,421,61,29,0,0,281,263,84,94,175,272,163,97,15,796,0,0,0,0,0,0,0
17031420400,4204,TRUE,69.7,27.9,"1,131",70,69,708,169,0,0,711,"1,131",0,51,0,20,31,0,134,71,115,120,591,51,5,0,5,"1,131",577,849,789,755,478,236,23,452,0,452,396,98,354,56,6,0,0,251,151,115,194,232,297,109,61,12,789,0,0,0,0,0,0,0
17031420500,4205,TRUE,59.1,31.9,"1,659",87,99,"1,637",22,0,0,799,"1,659",0,0,0,0,0,0,99,28,66,151,648,113,33,0,33,"1,659",327,790,"1,136","1,081",447,230,7,562,0,562,387,154,408,142,63,0,0,69,271,218,241,162,206,192,109,130,0,0,"1,136",0,0,0,0,0
17031420600,4206,TRUE,63,33.9,"2,097",154,76,"1,983",6,12,12,933,"2,097",0,12,12,0,0,0,28,18,18,158,775,262,37,0,37,"2,097","1,018","1,422","1,189","1,098",226,294,37,602,0,602,460,150,419,104,71,0,0,198,330,212,193,259,348,202,47,77,0,0,"1,189",0,0,0,0,0
17031420700,4207,TRUE,61.9,33,"3,036",314,45,"2,903",0,40,0,"1,164","3,031",5,47,41,0,6,0,184,0,44,267,897,234,74,9,65,"3,036","1,678","2,430","1,782","1,464",93,406,26,732,0,732,509,132,568,162,100,11,0,287,389,244,244,327,455,121,102,159,0,0,"1,782",0,0,0,0,0
17031420800,4208,TRUE,56,34.6,"2,158",229,92,"2,002",40,6,0,814,"2,153",5,32,0,32,0,0,97,34,38,202,612,284,16,0,16,"2,142",559,"1,151","1,114",993,128,232,53,529,0,529,422,103,420,97,16,6,0,243,330,88,153,240,331,139,26,78,"1,114",0,0,0,0,0,0,0
17031421200,4212,TRUE,68.9,33,"1,210",80,14,"1,180",0,16,0,480,"1,210",0,32,16,0,0,16,35,16,16,147,333,55,26,7,19,"1,183",506,662,779,537,166,253,28,199,0,199,154,54,129,33,24,0,0,31,163,112,174,42,185,128,35,90,0,0,779,0,0,0,0,0
17031430101,4301.01,TRUE,69.3,34.4,"3,118",143,81,"3,002",0,0,0,"1,632","3,118",0,0,0,0,0,0,42,4,12,225,"1,407",227,86,0,86,"3,118","1,115","2,028","2,261","2,083",459,551,88,993,21,972,648,221,739,267,86,0,12,264,775,357,236,417,599,370,73,173,0,0,"2,261",0,0,0,0,0
17031430102,4301.02,TRUE,71.1,29.3,"3,046",150,96,"2,912",28,1,0,"1,891","3,035",11,0,0,0,0,0,206,30,56,227,"1,664",143,45,0,45,"3,046",828,"1,554","2,017","1,900","1,348",659,38,"1,194",0,"1,194",971,484,656,178,10,0,0,279,621,486,505,453,689,509,146,94,0,0,"2,017",0,0,0,0,0
17031430200,4302,TRUE,67.7,29.3,"4,961",325,279,"4,477",0,54,0,"2,379","4,942",19,56,56,0,0,0,281,78,206,341,"2,038",496,34,0,34,"4,961","1,617","3,142","2,556","2,186",875,"1,034",164,"1,181",0,"1,181",749,253,903,416,89,0,0,724,462,434,759,669,965,387,169,189,0,0,"2,556",0,0,0,0,0
17031430300,4303,TRUE,62,38.5,"2,398",354,32,"2,355",8,1,0,931,"2,391",7,6,0,6,0,0,0,0,0,128,803,472,11,0,11,"2,376","1,371","1,950","1,267","1,094",162,329,60,542,0,542,353,141,375,163,47,26,0,307,350,188,86,243,267,283,108,30,0,0,"1,267",0,0,0,0,0
17031430400,4304,TRUE,67.9,33.4,"2,756",163,0,"2,646",0,24,0,"1,087","2,644",112,0,0,0,0,0,71,0,0,298,789,258,38,0,38,"2,686","1,053","1,501","1,430","1,151",132,381,21,685,0,685,521,250,408,138,63,0,0,140,517,229,201,366,337,168,100,116,"1,430",0,0,0,0,0,0,0
17031430500,4305,TRUE,66.5,34.5,"3,569",334,67,"3,505",33,34,0,"1,585","3,564",5,36,36,0,0,0,80,15,31,142,"1,443",372,89,21,68,"3,569","2,093","2,555","2,198","2,035",795,676,56,853,0,853,471,224,629,382,65,0,0,439,611,274,261,336,784,305,26,134,0,0,"2,198",0,0,0,0,0
17031430600,4306,TRUE,72.6,28.9,"1,920",136,38,"1,798",15,16,0,753,"1,908",12,0,0,0,0,0,56,15,15,269,484,156,22,0,22,"1,920",348,990,883,701,194,234,38,481,0,481,391,154,319,68,44,8,0,94,258,114,287,84,298,126,106,139,883,0,0,0,0,0,0,0
17031430700,4307,TRUE,64.7,29.9,"2,474",244,34,"2,216",29,57,0,"1,235","2,210",264,31,0,0,0,31,106,43,56,117,"1,118",246,11,0,11,"2,210",994,"1,422","1,404","1,338",870,484,85,666,0,666,510,127,539,156,11,0,0,334,508,293,100,341,567,256,49,22,0,0,"1,404",0,0,0,0,0
17031430800,4308,TRUE,69.6,27.8,"1,756",157,29,"1,679",0,0,0,686,"1,756",0,0,0,0,0,0,19,0,0,278,408,160,14,0,14,"1,741",470,709,911,712,32,76,43,567,0,567,371,163,387,191,28,0,0,114,260,135,177,128,145,251,93,69,0,0,911,0,0,0,0,0
17031430900,4309,TRUE,66.3,29.7,"1,572",93,0,"1,563",1,7,0,681,"1,566",6,21,9,12,0,0,54,6,6,229,452,119,3,0,3,"1,572",444,556,812,566,112,237,21,423,0,423,323,151,262,92,21,0,0,104,263,109,205,93,296,99,78,115,0,0,812,0,0,0,0,0
17031431200,4312,TRUE,75,26.5,"2,828",104,9,"2,796",0,50,0,"1,089","2,823",5,0,0,0,0,0,40,0,8,698,391,77,0,0,0,"2,805",652,937,"1,308",375,33,146,90,853,0,853,720,192,575,87,82,33,0,40,444,178,427,147,286,124,89,443,"1,308",0,0,0,0,0,0,0
17031431301,4313.01,TRUE,59.9,34,"3,580",402,177,"3,334",0,5,0,"1,253","3,516",64,18,0,18,0,0,269,11,72,233,"1,020",337,54,0,54,"3,548","1,242","2,341","1,852","1,609",295,361,79,813,0,813,455,142,671,358,16,0,0,221,536,297,199,317,463,238,83,152,"1,852",0,0,0,0,0,0,0
17031431302,4313.02,TRUE,55.2,37.2,"4,204",398,161,"4,105",0,8,0,"1,531","4,175",29,33,33,0,0,0,102,39,39,204,"1,327",518,60,0,60,"4,204","1,580","2,309","2,330","2,047",524,443,21,"1,067",0,"1,067",636,230,807,380,71,22,0,351,669,285,226,426,649,262,44,150,0,0,"2,330",0,0,0,0,0
17031431400,4314,TRUE,65.9,30,"6,979",411,79,"6,377",42,80,0,"3,336","6,451",528,69,15,0,0,54,458,219,281,466,"2,870",501,248,0,248,"6,475","2,577","4,078","4,156","3,893","2,599",856,120,"2,360",0,"2,360","1,650",224,"2,098",642,136,0,0,690,"1,335",786,525,825,"1,396",504,279,332,0,0,"4,156",0,0,0,0,0
17031440101,4401.01,TRUE,61.5,37.4,"4,105",454,95,"3,966",58,0,0,"1,860","4,068",37,0,0,0,0,0,30,30,30,94,"1,766",449,114,0,114,"4,105","1,628","3,031","2,449","2,337",585,653,116,"1,091",0,"1,091",638,262,829,441,39,0,0,526,548,491,295,586,676,370,140,88,0,0,"2,449",0,0,0,0,0
17031440102,4401.02,TRUE,68,33.5,"3,266",304,82,"2,950",0,10,16,"1,593","3,266",0,35,0,0,0,35,50,0,0,269,"1,324",326,0,0,0,"3,266","1,064","1,747","2,032","1,731",299,593,87,913,0,913,602,208,695,290,84,0,0,277,588,440,288,421,629,297,65,181,0,0,"2,032",0,0,0,0,0
17031440201,4402.01,TRUE,69.5,31.8,"4,890",391,113,"4,743",0,77,0,"2,374","4,890",0,23,0,23,0,0,49,0,0,409,"1,965",478,53,18,35,"4,890","1,582","2,629","2,952","2,563",523,904,131,"1,339",0,"1,339",965,259,"1,038",313,60,42,0,351,848,581,594,536,852,267,235,484,0,0,"2,952",0,0,0,0,0
17031440202,4402.02,TRUE,81.3,27.7,"3,213",121,77,"3,164",35,0,0,"1,612","3,213",0,26,0,0,26,0,74,15,15,649,963,283,36,26,10,"3,213",781,"1,634","1,792","1,051",222,448,44,"1,120",11,"1,109",892,476,607,190,71,17,0,123,497,335,657,243,403,387,198,381,0,0,"1,792",0,0,0,0,0
17031440300,4403,TRUE,79.9,27,"4,577",230,0,"4,546",89,0,0,"1,998","4,572",5,17,17,0,0,0,92,1,1,"1,154",844,361,0,0,0,"4,577",744,"1,408","2,375","1,212",305,774,36,"1,188",0,"1,188","1,057",419,757,131,29,0,0,154,582,477,785,173,585,622,208,410,0,0,"2,375",0,0,0,0,0
17031440600,4406,TRUE,79.9,22.8,"1,807",62,8,"1,807",0,0,0,741,"1,807",0,17,8,0,0,9,58,0,0,636,105,96,0,0,0,"1,807",175,387,851,0,0,103,34,604,0,604,558,262,342,38,17,0,0,16,240,204,281,61,94,203,133,250,851,0,0,0,0,0,0,0
17031440700,4407,TRUE,79.8,22.7,"1,440",42,0,"1,402",0,5,0,607,"1,440",0,0,0,0,0,0,162,98,142,407,200,40,0,0,0,"1,440",144,548,688,224,6,150,50,407,0,407,322,165,237,70,21,0,0,39,123,257,188,18,110,162,138,179,0,0,688,0,0,0,0,0
17031440800,4408,TRUE,69.7,32,"1,693",178,0,"1,658",13,0,0,705,"1,693",0,0,0,0,0,0,13,0,13,197,508,132,44,6,38,"1,693",712,"1,053",879,706,139,259,49,397,4,393,314,215,178,59,7,0,0,107,233,158,207,156,199,122,106,122,0,0,879,0,0,0,0,0
17031440900,4409,TRUE,73.3,29.3,"2,547",183,0,"2,533",0,30,0,932,"2,542",5,0,0,0,0,0,54,1,54,411,521,224,28,0,28,"2,547",595,"1,233","1,168",544,9,291,24,617,0,617,438,139,450,152,78,20,0,104,211,283,334,123,279,215,80,235,0,0,"1,168",0,0,0,0,0
17031450300,4503,TRUE,80.6,25.9,"3,781",200,0,"3,765",0,0,0,"1,373","3,781",0,0,0,0,0,0,10,0,0,897,476,230,41,6,35,"3,748",540,"1,511","1,637",697,16,303,83,987,0,987,819,331,618,168,87,0,0,139,459,181,594,157,256,314,175,471,0,0,"1,637",0,0,0,0,0
17031460100,4601,TRUE,64.8,34.5,"3,424",185,443,"2,866",74,0,0,"1,118","3,420",4,87,20,0,20,47,429,293,318,426,692,262,52,5,47,"3,399","1,276","2,018","1,776","1,266",185,232,65,821,0,821,542,141,668,242,24,12,0,121,517,204,276,179,437,207,114,181,0,0,"1,776",0,0,0,0,0
17031460200,4602,TRUE,54.6,32.6,"2,482",272,"1,319",939,0,0,0,828,"2,474",8,85,78,7,0,0,434,96,228,347,481,180,37,23,14,"2,446",966,"1,730","1,155",905,5,287,20,521,5,516,303,59,453,208,0,0,0,135,393,142,158,144,265,118,153,148,0,0,0,"1,155",0,0,0,0
