"TRACT_2020","TRACT_prev","N","tot2020","allocation"
"17031140100","17031140100",1147,1147,1
"17031140200","17031140200",2928,2928,1
"17031140301","17031140301",788,788,1
"17031140302","17031140302",1670,1670,1
"17031140400","17031140400",2332,2332,1
"17031140500","17031140500",1314,1314,1
"17031140601","17031140601",936,936,1
"17031140602","17031140602",1660,1660,1
"17031140701","17031140701",1035,1035,1
"17031140702","17031140702",2136,2136,1
"17031140800","17031140800",2676,2676,1
"17031150200","17031150200",3056,3056,1
"17031150300","17031150300",3082,3082,1
"17031150401","17031150401",1838,1838,1
"17031150402","17031150402",1297,1297,1
"17031150501","17031150501",1471,1471,1
"17031150502","17031150502",1549,1549,1
"17031150600","17031150600",1418,1418,1
"17031150700","17031150700",1524,1524,1
"17031150800","17031150800",1809,1809,1
"17031151001","17031151001",907,907,1
"17031151002","17031151002",1583,1583,1
"17031151100","17031151100",1814,1814,1
"17031151200","17031151200",1245,1245,1
"17031160100","17031160100",979,979,1
"17031160200","17031160200",1330,1330,1
"17031160300","17031160300",2029,2029,1
"17031160400","17031160400",1874,1874,1
"17031160501","17031160501",1328,1328,1
"17031160502","17031160502",1325,1325,1
"17031160601","17031160601",1369,1369,1
"17031160602","17031160602",1480,1480,1
"17031160700","17031160700",2508,2508,1
"17031160800","17031160800",1909,1909,1
"17031160900","17031160900",1077,1077,1
"17031161000","17031161000",835,835,1
"17031161100","17031161100",761,761,1
"17031161200","17031161200",978,978,1
"17031161300","17031161300",1453,1453,1
"17031170100","17031170100",1152,1152,1
"17031170200","17031170200",1279,1279,1
"17031170300","17031170300",1896,1896,1
"17031170400","17031170400",1552,1552,1
"17031170500","17031170500",2035,2035,1
"17031170600","17031170600",1028,1028,1
"17031170700","17031170700",1055,1055,1
"17031170800","17031170800",1447,1447,1
"17031170900","17031170900",666,666,1
"17031171000","17031171000",2771,2771,1
"17031171100","17031171100",1297,1297,1
"17031180100","17031180100",2155,2180,0.988532110091743
"17031180100","17031831500",25,2180,0.0114678899082569
"17031190100","17031190100",882,882,1
"17031190200","17031190200",1518,1518,1
"17031190300","17031190300",1755,1755,1
"17031190401","17031190401",1335,1335,1
"17031190402","17031190402",1868,1868,1
"17031190601","17031190601",1228,1228,1
"17031190602","17031190602",2021,2021,1
"17031190701","17031190701",893,893,1
"17031190702","17031190702",1453,1453,1
"17031190800","17031190800",2238,2238,1
"17031190900","17031190900",683,683,1
"17031191000","17031191000",793,793,1
"17031191100","17031191100",2221,2221,1
"17031191200","17031191200",1234,1234,1
"17031191301","17031191301",1627,1627,1
"17031191302","17031191302",1403,1403,1
"17031200100","17031200100",1388,1388,1
"17031200200","17031200200",1646,1646,1
"17031200300","17031200300",582,582,1
"17031200401","17031200401",1041,1041,1
"17031200402","17031200402",1076,1076,1
"17031210100","17031210100",1414,1414,1
"17031210400","17031210400",1023,1023,1
"17031210501","17031210501",1302,1302,1
"17031210502","17031210502",1468,1468,1
"17031210601","17031210601",950,950,1
"17031210602","17031210602",1555,1555,1
"17031210700","17031210700",1615,1615,1
"17031210800","17031210800",391,391,1
"17031210900","17031210900",1223,1223,1
"17031220300","17031220300",963,963,1
"17031220400","17031220400",1144,1144,1
"17031220500","17031220500",1287,1292,0.996130030959752
"17031220500","17031220602",5,1292,0.00386996904024768
"17031220601","17031220601",711,711,1
"17031220602","17031220602",2496,2496,1
"17031220701","17031220701",1082,1082,1
"17031220702","17031220702",1334,1334,1
"17031220901","17031220901",998,998,1
"17031220902","17031220902",1017,1017,1
"17031221000","17031221000",1044,1044,1
"17031221100","17031221100",2257,2257,1
"17031221200","17031221200",1295,1295,1
"17031221300","17031221300",1367,1367,1
"17031221400","17031221400",1339,1339,1
"17031221500","17031221500",1407,1407,1
"17031221600","17031221600",1423,1423,1
"17031222200","17031222200",937,937,1
"17031222500","17031222500",558,558,1
"17031222600","17031222600",707,707,1
"17031222700","17031222700",903,903,1
"17031222800","17031222800",354,354,1
"17031222900","17031222900",309,309,1
"17031230100","17031230100",600,600,1
"17031230200","17031222700",1,633,0.00157977883096367
"17031230200","17031230200",632,633,0.998420221169036
"17031230300","17031230300",270,270,1
"17031230400","17031230400",780,780,1
"17031230500","17031230500",1153,1153,1
"17031230600","17031230600",1992,1992,1
"17031230700","17031230700",1727,1727,1
"17031230800","17031230800",368,368,1
"17031230900","17031230900",2056,2056,1
"17031231100","17031231100",384,384,1
"17031231200","17031231200",1881,1881,1
"17031231500","17031231500",2054,2054,1
"17031240200","17031240200",811,811,1
"17031240300","17031240300",605,605,1
"17031240500","17031240500",1358,1358,1
"17031240600","17031240600",656,656,1
"17031240700","17031240700",663,663,1
"17031240800","17031240800",694,694,1
"17031240900","17031240900",519,519,1
"17031241000","17031241000",913,913,1
"17031241100","17031241100",1641,1641,1
"17031241200","17031241200",773,773,1
"17031241300","17031241300",955,955,1
"17031241400","17031241400",2514,2514,1
"17031241500","17031241500",1416,1416,1
"17031241600","17031241600",1729,1729,1
"17031242000","17031242000",2246,2246,1
"17031242100","17031242100",1754,1754,1
"17031242200","17031242200",1736,1736,1
"17031242300","17031242300",1625,1625,1
"17031242400","17031242400",1416,1416,1
"17031242500","17031242500",1626,1626,1
"17031242600","17031242600",2594,2594,1
"17031242700","17031242700",758,758,1
"17031242800","17031242800",619,619,1
"17031242900","17031242900",804,804,1
"17031243000","17031243000",1070,1070,1
"17031243100","17031243100",919,919,1
"17031243200","17031243200",983,983,1
"17031243300","17031243300",1140,1140,1
"17031243400","17031243400",1372,1372,1
"17031243500","17031243500",1811,1811,1
"17031250200","17031250200",790,790,1
"17031250300","17031250300",1593,1593,1
"17031250400","17031250400",1815,1815,1
"17031250500","17031250500",2901,2901,1
"17031250600","17031250600",1388,1388,1
"17031250700","17031250700",2113,2113,1
"17031250800","17031250800",809,809,1
"17031251000","17031251000",342,342,1
"17031251100","17031251100",1539,1539,1
"17031251200","17031251200",1155,1155,1
"17031251300","17031251300",1559,1559,1
"17031251400","17031251400",1787,1787,1
"17031251500","17031251500",1485,1485,1
"17031251600","17031251600",1096,1096,1
"17031251700","17031251700",374,374,1
"17031251800","17031251800",1706,1706,1
"17031251900","17031251900",1654,1654,1
"17031252000","17031252000",2435,2435,1
"17031252101","17031252101",504,504,1
"17031252102","17031252102",2289,2289,1
"17031252201","17031252201",1252,1252,1
"17031252202","17031252202",1671,1671,1
"17031260100","17031260100",560,560,1
"17031260200","17031260200",381,381,1
"17031260300","17031260300",571,571,1
"17031260400","17031260400",408,408,1
"17031260500","17031260500",539,539,1
"17031260600","17031260600",527,527,1
"17031260700","17031260700",566,566,1
"17031260800","17031260800",907,907,1
"17031260900","17031260900",521,521,1
"17031261000","17031261000",722,722,1
"17031270500","17031270500",647,647,1
"17031271200","17031271200",514,514,1
"17031271300","17031271300",365,365,1
"17031271400","17031271400",535,535,1
"17031271500","17031271500",574,574,1
"17031271800","17031271800",224,224,1
"17031280100","17031280100",4475,4475,1
"17031280400","17031280400",712,712,1
"17031280800","17031280800",406,406,1
"17031280900","17031280900",378,378,1
"17031281900","17031281900",3746,3746,1
"17031282700","17031282700",801,801,1
"17031282800","17031282800",699,699,1
"17031283100","17031283100",1248,1248,1
"17031283200","17031283200",690,690,1
"17031283800","17031283800",1740,1740,1
"17031290900","17031290900",1285,1285,1
"17031291200","17031291200",842,842,1
"17031291600","17031291600",385,385,1
"17031292200","17031292200",984,984,1
"17031292400","17031292400",688,688,1
"17031292500","17031292500",1445,1445,1
"17031300500","17031300500",994,994,1
"17031300600","17031300600",995,995,1
"17031300700","17031300700",1524,1524,1
"17031300800","17031300800",1105,1105,1
"17031300900","17031300900",1323,1323,1
"17031301100","17031301100",805,805,1
"17031301200","17031301200",1298,1298,1
"17031301600","17031301600",1631,1631,1
"17031301701","17031301701",1062,1062,1
"17031301702","17031301702",1104,1104,1
"17031301801","17031301801",1113,1113,1
"17031301802","17031301802",876,876,1
"17031301803","17031301803",1367,1367,1
"17031310200","17031310200",662,662,1
"17031310300","17031310300",709,709,1
"17031310400","17031310400",538,538,1
"17031310500","17031310500",521,521,1
"17031310600","17031310600",2105,2105,1
"17031310700","17031310700",687,687,1
"17031310800","17031310800",1547,1547,1
"17031310900","17031310900",1969,1969,1
"17031320101","17031320100",6653,6653,1
"17031320102","17031320100",5968,5968,1
"17031320400","17031320400",4418,4418,1
"17031320600","17031320600",4575,4575,1
"17031330101","17031330100",2051,2051,1
"17031330102","17031330100",4687,4687,1
"17031330103","17031330100",5435,5435,1
"17031330200","17031330200",1922,1922,1
"17031340300","17031340300",683,683,1
"17031340400","17031340400",666,666,1
"17031340500","17031340500",845,845,1
"17031340600","17031340600",432,432,1
"17031350100","17031350100",1552,1552,1
"17031350400","17031350400",820,820,1
"17031351000","17031351000",2400,2400,1
"17031351100","17031351100",918,918,1
"17031351400","17031351400",863,863,1
"17031351500","17031351500",207,207,1
"17031360200","17031360200",688,688,1
"17031380100","17031380100",1049,1049,1
"17031380200","17031380200",1203,1203,1
"17031380600","17031380500",320,1878,0.170394036208733
"17031380600","17031835900",1558,1878,0.829605963791267
"17031381200","17031381200",1067,1067,1
"17031381400","17031381400",699,699,1
"17031381500","17031381500",133,133,1
"17031381800","17031381800",579,579,1
"17031381900","17031381900",555,555,1
"17031390100","17031390100",637,637,1
"17031390200","17031390200",870,870,1
"17031390300","17031390300",1612,1612,1
"17031390400","17031390400",1536,1536,1
"17031390500","17031390500",735,735,1
"17031390600","17031390600",854,854,1
"17031390700","17031390700",3508,3508,1
