"TRACT_2020","TRACT_prev","N","tot2020","allocation"
"17031838600","17031838600",679,679,1
"17031838700","17031838700",1593,1593,1
"17031838800","17031838800",1125,1125,1
"17031839000","17031839000",5152,5152,1
"17031839100","17031839100",7877,7877,1
"17031839200","17031839200",1454,1454,1
"17031839500","17031839500",870,870,1
"17031839600","17031839600",883,883,1
"17031839700","17031839700",1917,1917,1
"17031839800","17031839800",1214,1214,1
"17031839900","17031839900",1684,1684,1
"17031840000","17031840000",1033,1033,1
"17031840100","17031840100",1066,1066,1
"17031840200","17031840200",846,846,1
"17031840300","17031840300",1219,1219,1
"17031840400","17031840400",1215,1215,1
"17031840700","17031840700",1169,1169,1
"17031840800","17031840800",914,914,1
"17031841000","17031841000",1688,1688,1
"17031841100","17031841100",2869,2869,1
"17031841200","17031841200",2074,2074,1
"17031841300","17031841300",1545,1545,1
"17031841500","17031841500",1040,1040,1
"17031841700","17031841700",718,718,1
"17031841800","17031841800",988,988,1
"17031841900","17031841900",4966,4966,1
"17031842000","17031842000",2629,2629,1
"17031842100","17031842100",2137,2137,1
"17031842200","17031842200",1953,1953,1
"17031842300","17031842300",1657,1657,1
"17031842400","17031842400",1325,1325,1
"17031842500","17031842500",835,835,1
"17031842600","17031842600",1500,1500,1
"17031842800","17031842800",2079,2079,1
"17031842900","17031842900",1209,1209,1
"17031843000","17031843000",971,971,1
"17031843100","17031843100",682,682,1
"17031843200","17031843200",861,861,1
"17031843300","17031843300",1080,1080,1
"17031843400","17031843400",453,453,1
"17031843500","17031843500",8107,8107,1
"17031843600","17031843600",1312,1312,1
"17031843700","17031843700",987,987,1
"17031843800","17031843800",638,638,1
"17031843900","17031843900",1928,1928,1
"17031844600","17031380700",680,884,0.769230769230769
"17031844600","17031835700",204,884,0.230769230769231
"17031844700","17031841400",434,692,0.627167630057804
"17031844700","17031841600",258,692,0.372832369942197
"17031980000","17031980000",602,602,1
"17031980100","17031980100",17,17,1
